PGM_CODE,PGM_VERSION_NUMBER,AREA_CODE,year,month,day,quar,NAME,latitude_s,latitude_h,longitude_s,longitude_h,sample,DURATION,BOTTOM_TRACK,TOR_CODE,MESH_SIZE,water_depth,PMR_area_code,alkarea,DUTCH_NAME,snumtot,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,agetot
DFS,1.0,404,1984,9,17,3,Isis,53.43333,,5.2,,2100001,15.0,1400,Boomkor06k,0.020000,14,WaddenkustNL,23,Tong,2,1,1,0,0,0,0,0,0,0,0,0,2
DFS,1.0,404,1984,9,17,3,Isis,53.4,,5.26667,,2100002,15.0,1400,Boomkor06k,0.020000,5,WaddenkustNL,23,Tong,8,6,1,1,0,0,0,0,0,0,0,0,8
DFS,1.0,404,1984,9,17,3,Isis,53.43333,,5.4,,2100003,10.0,930,Boomkor06k,0.020000,5,WaddenkustNL,23,Tong,5,5,0,0,0,0,0,0,0,0,0,0,5
DFS,1.0,404,1984,9,18,3,Isis,53.53333,,6.13333,,2100004,15.0,1400,Boomkor06k,0.020000,7,WaddenkustNL,23,Tong,7,7,0,0,0,0,0,0,0,0,0,0,7
DFS,1.0,404,1984,9,18,3,Isis,53.51667,,6.26667,,2100005,15.0,1400,Boomkor06k,0.020000,5,WaddenkustNL,23,Tong,3438,3438,0,0,0,0,0,0,0,0,0,0,3438
DFS,1.0,404,1984,9,18,3,Isis,53.56667,,6.43333,,2100006,15.0,1400,Boomkor06k,0.020000,5,WaddenkustNL,23,Tong,125,125,0,0,0,0,0,0,0,0,0,0,125
DFS,1.0,404,1984,9,18,3,Isis,53.63333,,6.56667,,2100007,15.0,1400,Boomkor06k,0.020000,5,WaddenkustNL,23,Tong,102,101,1,0,0,0,0,0,0,0,0,0,102
DFS,1.0,405,1984,9,18,3,Isis,53.66667,,6.73333,,2100008,15.0,1400,Boomkor06k,0.020000,8,WaddenkustDE,24,Tong,165,165,0,0,0,0,0,0,0,0,0,0,165
DFS,1.0,405,1984,9,18,3,Isis,53.68333,,6.98333,,2100009,15.0,1400,Boomkor06k,0.020000,4,WaddenkustDE,24,Tong,269,269,0,0,0,0,0,0,0,0,0,0,269
DFS,1.0,405,1984,9,18,3,Isis,53.73333,,7.16667,,2100010,15.0,1400,Boomkor06k,0.020000,5,WaddenkustDE,24,Tong,65,65,0,0,0,0,0,0,0,0,0,0,65
DFS,1.0,405,1984,9,18,3,Isis,53.75,,7.35,,2100011,15.0,1400,Boomkor06k,0.020000,8,WaddenkustDE,24,Tong,22,22,0,0,0,0,0,0,0,0,0,0,22
DFS,1.0,405,1984,9,18,3,Isis,53.78333,,7.55,,2100012,15.0,1400,Boomkor06k,0.020000,9,WaddenkustDE,24,Tong,60,60,0,0,0,0,0,0,0,0,0,0,60
DFS,1.0,405,1984,9,19,3,Isis,53.78333,,7.7,,2100013,15.0,1400,Boomkor06k,0.020000,5,WaddenkustDE,24,Tong,49,49,0,0,0,0,0,0,0,0,0,0,49
DFS,1.0,405,1984,9,19,3,Isis,53.8,,7.86667,,2100014,15.0,1400,Boomkor06k,0.020000,4,WaddenkustDE,24,Tong,6,6,0,0,0,0,0,0,0,0,0,0,6
DFS,1.0,405,1984,9,19,3,Isis,53.93333,,8.05,,2100015,15.0,1400,Boomkor06k,0.020000,14,WaddenkustDE,24,Tong,101,101,0,0,0,0,0,0,0,0,0,0,101
DFS,1.0,406,1984,9,19,3,Isis,54.03333,,8.31667,,2100016,15.0,1400,Boomkor06k,0.020000,9,WaddenkustDK,25,Tong,410,410,0,0,0,0,0,0,0,0,0,0,410
DFS,1.0,406,1984,9,19,3,Isis,54.03333,,8.46667,,2100017,15.0,1400,Boomkor06k,0.020000,13,WaddenkustDK,25,Tong,205,205,0,0,0,0,0,0,0,0,0,0,205
DFS,1.0,406,1984,9,19,3,Isis,54.11667,,8.38333,,2100018,15.0,1400,Boomkor06k,0.020000,13,WaddenkustDK,25,Tong,368,368,0,0,0,0,0,0,0,0,0,0,368
DFS,1.0,406,1984,9,19,3,Isis,54.13333,,8.46667,,2100019,15.0,1400,Boomkor06k,0.020000,9,WaddenkustDK,25,Tong,114,114,0,0,0,0,0,0,0,0,0,0,114
DFS,1.0,406,1984,9,20,3,Isis,54.25,,8.48333,,2100021,15.0,1400,Boomkor06k,0.020000,11,WaddenkustDK,25,Tong,128,128,0,0,0,0,0,0,0,0,0,0,128
DFS,1.0,406,1984,9,24,3,Isis,54.11667,,8.38333,,2100022,15.0,1400,Boomkor06k,0.020000,12,WaddenkustDK,25,Tong,10,5.6666666667,3.9055555556,0.4277777778,0,0,0,0,0,0,0,0,10
DFS,1.0,406,1984,9,24,3,Isis,54.25,,8.38333,,2100023,15.0,1400,Boomkor06k,0.020000,12,WaddenkustDK,25,Tong,42,42,0,0,0,0,0,0,0,0,0,0,42
DFS,1.0,406,1984,9,24,3,Isis,54.35,,8.45,,2100024,15.0,1400,Boomkor06k,0.020000,9,WaddenkustDK,25,Tong,14,14,0,0,0,0,0,0,0,0,0,0,14
DFS,1.0,406,1984,9,24,3,Isis,54.46667,,8.36667,,2100025,15.0,1400,Boomkor06k,0.020000,9,WaddenkustDK,25,Tong,5,5,0,0,0,0,0,0,0,0,0,0,5
DFS,1.0,406,1984,9,24,3,Isis,54.56667,,8.38333,,2100026,15.0,1400,Boomkor06k,0.020000,17,WaddenkustDK,25,Tong,47,47,0,0,0,0,0,0,0,0,0,0,47
DFS,1.0,406,1984,9,24,3,Isis,54.66667,,8.26667,,2100027,15.0,1400,Boomkor06k,0.020000,17,WaddenkustDK,25,Tong,56,56,0,0,0,0,0,0,0,0,0,0,56
DFS,1.0,406,1984,9,24,3,Isis,54.76667,,8.25,,2100028,15.0,1400,Boomkor06k,0.020000,9,WaddenkustDK,25,Tong,10,10,0,0,0,0,0,0,0,0,0,0,10
DFS,1.0,406,1984,9,24,3,Isis,54.88333,,8.28333,,2100029,15.0,1400,Boomkor06k,0.020000,7,WaddenkustDK,25,,,,,,,,,,,,,,
DFS,1.0,406,1984,9,24,3,Isis,55,,8.31667,,2100030,15.0,1400,Boomkor06k,0.020000,9,WaddenkustDK,25,Tong,10,10,0,0,0,0,0,0,0,0,0,0,10
DFS,1.0,407,1984,9,24,3,Isis,55.05,,8.3,,2100031,15.0,1400,Boomkor06k,0.020000,5,WaddenkustDK,25,,,,,,,,,,,,,,
DFS,1.0,407,1984,9,24,3,Isis,55.18333,,8.3,,2100032,15.0,1400,Boomkor06k,0.020000,10,WaddenkustDK,25,Tong,1,1,0,0,0,0,0,0,0,0,0,0,1
DFS,1.0,407,1984,9,24,3,Isis,55.28333,,8.33333,,2100033,15.0,1400,Boomkor06k,0.020000,7,WaddenkustDK,25,,,,,,,,,,,,,,
DFS,1.0,407,1984,9,24,3,Isis,55.35,,8.3,,2100034,15.0,1400,Boomkor06k,0.020000,9,WaddenkustDK,25,Tong,7,7,0,0,0,0,0,0,0,0,0,0,7
DFS,1.0,406,1984,9,25,3,Isis,55,,8.25,,2100035,15.0,1400,Boomkor06k,0.020000,13,WaddenkustDK,25,Tong,23,23,0,0,0,0,0,0,0,0,0,0,23
DFS,1.0,406,1984,9,25,3,Isis,54.9,,8.18333,,2100036,15.0,1400,Boomkor06k,0.020000,14,WaddenkustDK,25,Tong,12,12,0,0,0,0,0,0,0,0,0,0,12
DFS,1.0,406,1984,9,25,3,Isis,54.78333,,8.18333,,2100037,15.0,1400,Boomkor06k,0.020000,11,WaddenkustDK,25,Tong,4,4,0,0,0,0,0,0,0,0,0,0,4
DFS,1.0,406,1984,9,25,3,Isis,54.63333,,8.2,,2100038,15.0,1400,Boomkor06k,0.020000,10,WaddenkustDK,25,,,,,,,,,,,,,,
DFS,1.0,406,1984,9,25,3,Isis,54.5,,8.23333,,2100039,15.0,1400,Boomkor06k,0.020000,10,WaddenkustDK,25,Tong,8,8,0,0,0,0,0,0,0,0,0,0,8
DFS,1.0,406,1984,9,25,3,Isis,54.36667,,8.33333,,2100040,15.0,1400,Boomkor06k,0.020000,12,WaddenkustDK,25,Tong,18,18,0,0,0,0,0,0,0,0,0,0,18
DFS,1.0,406,1984,9,26,3,Isis,54.03333,,8.16667,,2100041,15.0,1400,Boomkor06k,0.020000,17,WaddenkustDK,25,Tong,81,79,1.9285714286,0.0714285714,0,0,0,0,0,0,0,0,81
DFS,1.0,405,1984,9,26,3,Isis,53.95,,7.95,,2100042,15.0,1400,Boomkor06k,0.020000,25,WaddenkustDE,24,Tong,605,544,56,4.3333333333,0.6666666667,0,0,0,0,0,0,0,605
DFS,1.0,405,1984,9,26,3,Isis,53.83333,,7.76667,,2100043,15.0,1400,Boomkor06k,0.020000,17,WaddenkustDE,24,Tong,255,248,5,1.5,0.5,0,0,0,0,0,0,0,255
