Longitude,Latitude,January,February,March,April,May,June,July,August,September,October,November,December
-16.9375,55.6875,0,0,0,0,0,0,0,0,0,0,0,0
-16.8125,55.6875,0,0,0,0,0,0,0,0,0,0,0,0
-16.8125,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-16.8125,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-16.6875,55.6875,0,0,0,0,0,0,0,0,0,0,0,0
-16.6875,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-16.6875,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-16.6875,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-16.6875,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-16.5625,55.6875,0,0,0,0,0,0,0,0,0,0,0,0
-16.5625,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-16.5625,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-16.5625,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-16.4375,55.6875,0,0,0,0,0,0,0,0,0,0,0,0
-16.4375,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-16.4375,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-16.4375,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-16.3125,55.6875,0,0,0,0,0,0,0,0,0,0,0,0
-16.3125,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-16.3125,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-16.3125,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-16.1875,55.6875,0,0,0,0,0,0,0,0,0,0,0,0
-16.1875,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-16.1875,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-16.1875,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-16.1875,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-16.0625,55.6875,0,0,0,0,0,0,0,0,0,0,0,0
-16.0625,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-16.0625,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-16.0625,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-16.0625,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-15.9375,55.6875,0,0,0,0,0,0,0,0,0,0,0,0
-15.9375,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-15.9375,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-15.9375,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-15.9375,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-15.9375,56.3125,0,0,0,0,0,0,0,0,0,0,0,0
-15.8125,55.6875,0,0,0,0,0,0,0,0,0,0,0,0
-15.8125,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-15.8125,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-15.8125,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
